tid,label,lat,lon,day,hour
1,1,40.8340978041072,-73.94526722258809,0,13
1,1,40.567196,-73.882576,0,19
1,1,40.689912719457396,-73.9815044403076,0,23
1,1,40.7085883614824,-73.9910316467285,0,23
1,1,40.833165200622396,-73.9418603427692,1,14
1,1,40.7085883614824,-73.9910316467285,1,17
1,1,40.7590904609109,-73.83005619049071,1,18
1,1,40.759478666551104,-73.8300985117754,1,21
1,1,40.689912719457396,-73.9815044403076,1,23
1,1,40.848758995215995,-73.9382779598236,3,0
1,1,40.848845833323004,-73.9384174346924,3,0
1,1,40.88214078989179,-74.0422647901029,3,1
1,1,40.914177997590706,-74.17763521463101,3,1
1,1,40.7572212983984,-73.9915466308594,3,3
1,1,40.7617816261867,-73.9850546682068,3,3
1,1,40.815540684618,-73.9584234721819,3,3
1,1,40.833165200622396,-73.9418603427692,4,18
1,1,40.8341815824087,-73.945187330246,4,22
1,1,40.8346576535679,-73.9451868588011,5,23
1,1,40.833165200622396,-73.9418603427692,6,20
1,1,40.8341610206876,-73.94503761167971,6,21
1,1,40.833165200622396,-73.9418603427692,6,23
2,2,40.660473835167,-73.83029108918642,0,17
2,2,40.6086420833785,-73.8190376758575,0,19
2,2,40.73405557647629,-73.8708472251892,0,20
2,2,40.733372474683705,-73.8711404741537,0,20
2,2,40.7631337910326,-73.8752118314646,0,21
2,2,40.7572212983984,-73.9915466308594,3,2
2,2,40.7564898726738,-73.9862680435181,3,2
2,2,40.815540684618,-73.9584234721819,3,2
2,2,40.833165200622396,-73.9418603427692,5,14
2,2,40.831282826478294,-73.941392502021,5,15
2,2,40.6900872257332,-73.9817776229191,5,17
2,2,40.8278390825735,-73.92576813697809,5,18
2,2,40.833165200622396,-73.9418603427692,6,0
2,2,40.7085883614824,-73.9910316467285,6,12
2,2,40.6914746462291,-73.9873838424683,6,13
2,2,40.7306323510853,-73.9996371281808,6,14
2,2,40.8002312249141,-73.8288116455078,6,20
2,2,40.86046649134129,-73.92554283142091,6,21
3,3,40.821344149632296,-73.9540386199951,0,12
3,3,40.6900872257332,-73.9817776229191,0,13
3,3,40.6897825572405,-73.9810752868652,0,14
3,3,40.6889893757358,-73.98129925131799,0,16
3,3,40.662169710863296,-73.86484090153671,0,17
3,3,40.6963140173316,-73.9906616720344,1,21
3,3,40.68875409408809,-73.9806412614152,1,22
3,3,40.7085883614824,-73.9910316467285,2,16
3,3,40.771059262528404,-73.9176545604588,2,17
3,3,40.7660790376824,-73.88352870941159,2,18
3,3,40.803291864361896,-73.9328276594543,2,21
3,3,40.6904333657826,-73.9852809906006,2,22
3,3,40.6900872257332,-73.9817776229191,3,16
3,3,40.689912719457396,-73.9815044403076,3,19
3,3,40.6963140173316,-73.9906616720344,3,21
3,3,40.68875409408809,-73.9806412614152,3,22
3,3,40.7661619622658,-73.9775764953862,3,23
3,3,40.833165200622396,-73.9418603427692,6,0
3,3,40.6900872257332,-73.9817776229191,6,9
3,3,40.7136501283367,-73.830267186553,6,13
3,3,40.6901232953871,-73.9840790213382,6,16
3,3,40.8079950658704,-73.9638555049896,6,17
4,4,40.833165200622396,-73.9418603427692,1,0
4,4,40.675536508907705,-73.8717549157205,1,17
4,4,40.6990888502098,-73.80676279569451,1,18
4,4,40.7519046092262,-73.9866960394024,1,22
4,4,40.7014573241921,-74.01321428847191,2,19
4,4,40.8332608333333,-73.94581555,3,4
4,4,40.8173027038574,-73.9585418701172,4,17
4,4,40.773839,-73.87122,4,20
4,4,40.7631337910326,-73.8752118314646,4,21
4,4,40.7592855009274,-73.83078575134279,6,11
4,4,40.7590904609109,-73.83005619049071,6,13
4,4,40.83429877508829,-74.0979492166034,6,19
4,4,40.914177997590706,-74.17763521463101,6,20
5,5,40.833165200622396,-73.9418603427692,3,3
5,5,40.6900872257332,-73.9817776229191,3,16
5,5,40.7700768232489,-73.917989730835,3,17
5,5,40.773839,-73.87122,3,19
5,5,40.833165200622396,-73.9418603427692,4,0
5,5,40.6996886534352,-73.80783123752809,4,19
5,5,40.6900872257332,-73.9817776229191,4,22
5,5,40.6904333657826,-73.9852809906006,4,22
5,5,40.833165200622396,-73.9418603427692,5,17
5,5,40.7085883614824,-73.9910316467285,6,18
5,5,40.833165200622396,-73.9418603427692,6,23
6,6,40.5769992443877,-73.98152589797971,0,1
6,6,40.6526759641946,-74.0021467208862,0,5
6,6,40.6557390232741,-73.90721698547141,0,7
6,6,40.61947411408449,-73.9899587631226,0,8
6,6,40.7085883614824,-73.9910316467285,0,20
6,6,40.6880585097395,-73.9804905425158,1,3
6,6,40.7085883614824,-73.9910316467285,1,20
6,6,40.6914746462291,-73.9873838424683,2,3
6,6,40.831282826478294,-73.941392502021,2,4
6,6,40.833165200622396,-73.9418603427692,2,4
6,6,40.8341815824087,-73.945187330246,2,18
6,6,40.6053194625755,-73.9804116926189,2,22
6,6,40.57745558120849,-73.9812469482422,3,1
6,6,40.7564898726738,-73.9862680435181,3,3
6,6,40.8341610206876,-73.94503761167971,3,4
6,6,40.57745558120849,-73.9812469482422,3,22
6,6,40.6900872257332,-73.9817776229191,4,2
6,6,40.815540684618,-73.9584234721819,4,4
6,6,40.8192174354861,-73.9571721746063,5,8
6,6,40.7564898726738,-73.9862680435181,6,1
6,6,40.85594702018521,-73.9008381921455,6,22
6,6,40.8660975573721,-73.8943862915039,6,23
7,7,40.833165200622396,-73.9418603427692,1,18
7,7,40.6880585097395,-73.9804905425158,1,20
7,7,40.7679967046751,-73.9818906784058,3,4
7,7,40.833165200622396,-73.9418603427692,3,6
7,7,40.6900872257332,-73.9817776229191,4,2
7,7,40.69014050272521,-73.9819765090942,4,3
7,7,40.750724,-73.987128,4,4
7,7,40.7497034836652,-73.9878129959106,4,5
