Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.2876243659692575,22921.454893000304,0.07928290216231151,0.0
1001,0.20053703622303218,27450.131263570045,0.07149172346278727,0.013416325775740768
2001,0.2252105522217066,9129.34274291241,0.07813213787400346,0.2526239690963914
3001,0.18485015666006765,31050.53270560033,0.0708416452379511,0.4265456533998902
4001,0.20974316092236156,37594.596424114,0.07519666699166007,0.34745150351243625
5001,0.21814844505270506,28260.25319332587,0.07714496519767688,0.30683605909262596
6001,0.18250067948048854,51134.46062173357,0.08884083010653847,0.523237958801833
7001,0.18117494140832124,33585.291054933004,0.07708391929806915,0.20556420390530022
8001,0.1816293500073896,41186.68289767679,0.0885549043963121,0.550827963966225
9001,0.1816551364727758,54925.34636887579,0.08552916654012413,0.22776708481440142
10001,0.1911847550838832,41382.41221927971,0.0821803305056247,0.7480224916533348
