Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.29134560274575794,21399.069163060736,0.0835394223307701,0.0
1001,0.18871823431181206,46717.68291190227,0.04747255931959232,0.22918519264094359
2001,0.18978561150271128,47011.17348267,0.05416335274041228,0.1688852827558384
3001,0.18866634274339855,45162.476776414034,0.050387385831987236,0.19831514656629642
4001,0.1886854414922217,46433.83063116865,0.05051936935155958,0.16899041697660067
5001,0.18869978815286095,47448.179279044925,0.04757775601140619,0.2606001665167304
6001,0.18865932957983908,52403.23726751298,0.05336494436806978,0.12187919290135606
7001,0.1886404020225196,44341.47694294246,0.05214938945193797,0.11538167348394103
8001,0.18896536929258334,51454.556377563975,0.05253153767506503,0.16918656042963687
9001,0.18870648212523883,45517.39498621452,0.05204541060553136,0.10941779023975742
10001,0.18886552818509564,44156.344677885485,0.05512663967447158,0.1926958964885314
