Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.12678289816398278,31380.07861555616,0.05928896140237156,0.0
1001,0.11589570569182887,209653.51041621758,0.04421484941643235,0.326947125506626
2001,0.11365969510090643,212011.96155904297,0.04450533338746068,0.32658132461859296
3001,0.11375231537213999,211946.870423918,0.04256218910628376,0.32787651863690553
4001,0.09385847154475763,247936.2563272846,0.03405002521299647,0.3004252308092008
5001,0.08270956328884503,331002.4854221832,0.025383091499051953,0.33749493460747704
6001,0.07531091036454521,335525.73132310883,0.02450782073010732,0.3343981362999838
7001,0.07416082681614404,339426.70183391514,0.024882326502940998,0.340803961542806
8001,0.08055430138787349,336127.8358762868,0.02461007279041107,0.34588048732252025
9001,0.07684552709793853,334030.55729603115,0.02586805150313829,0.3374128193749829
10001,0.091376528516003,349965.72926173086,0.02968997640254992,0.2148812847824519
