Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.22139272845717517,10803.451013916601,0.06761430495189752,0.12997677222193874
1001,0.2529785412645148,8023.945816713511,0.09433988417765027,0.3538372716693848
2001,0.2175414798791819,21319.675785029693,0.0852895571031682,0.22803188339557293
3001,0.20765742275992854,23371.08319916698,0.08307177488719639,0.12031579605079823
4001,0.19734287784682772,29053.28086626046,0.08568693264675593,0.11358221883550766
5001,0.18890518064162917,29016.49008074563,0.08140673567259017,0.12171064644007233
6001,0.18597915316048305,33238.9495561028,0.0796895505000163,0.13209836529847002
7001,0.18614314125131434,36188.94263681356,0.0834843910168001,0.14652919833862277
8001,0.18315546158560378,38982.44719734502,0.07820582714003838,0.162943000348145
9001,0.1832288067336033,37587.263956260234,0.0810712373564274,0.18167986235606406
10001,0.18255745651227162,41385.26171848709,0.08672953325831596,0.15929572457434488
