Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.24550780577589948,13090.347104359,0.07297891537737783,0.12193906422828113
1001,0.21318519061849714,24404.41036823407,0.08339576736177201,0.18470684707586807
2001,0.19458610412761995,28525.378342963533,0.08376047466279794,0.0986675078060097
3001,0.1910419965807883,37171.185764957,0.07917143039686017,0.13374873862001693
4001,0.18885160993202305,41190.74066015018,0.07897734838347396,0.134339773003799
5001,0.18881775831325773,43923.41156099855,0.07919840034798553,0.18989851819825623
6001,0.18869508001102692,47818.1435184392,0.07375548757674436,0.1796642082107765
7001,0.1886921091793539,49470.571962142414,0.07462800147149619,0.1836634227972915
8001,0.1886810288376516,47206.365803424545,0.07395667917984787,0.18345206689683724
9001,0.18869242563249464,48570.211199886464,0.07566285575304003,0.1853868121828837
10001,0.18868276537123704,48232.332350375094,0.07582158070231648,0.1842299951604334
