Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.23321995201433157,12133.073829893108,0.06753666613038671,0.13933082891854748
1001,0.21709190238074522,19854.593449614138,0.1278571932198807,0.02211336666452186
2001,0.22334119380263562,19559.488839270918,0.1316239726978129,0.0
3001,0.18146717569747792,8883.292378138734,0.12420194049082639,0.00855204063051359
4001,0.18185999595439375,10368.15354776437,0.12224607422363258,0.0029780517585395634
5001,0.18126077384420003,14188.418873599605,0.11937231251222437,0.0
6001,0.1857892377336224,10956.139131604237,0.11789286245931636,0.0
7001,0.18136452725348118,4311.043835444565,0.11923566041931076,0.0
8001,0.18748139815588524,17128.484948985068,0.12311476349569937,0.0
9001,0.22709158225742265,23366.470204407236,0.12376381712280016,0.0
10001,0.19406875820188557,25070.544499651987,0.12407822979263411,0.0
11001,0.21831920829145995,21370.765179465452,0.12657862910129108,0.0
