Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.07312965183425955,245015.45466947547,0.05625057417940079,0.1252510680184409
1001,0.12372035121940778,219895.30978158873,0.04477676483262919,0.15757008439065545
2001,0.14476660903155014,183082.66871407395,0.04721107750080129,0.09772529083300477
3001,0.16060365800691243,160518.23921445798,0.04946293671603135,0.055280111891416954
4001,0.16238223338047106,149594.31586910598,0.050207679330411106,0.04310856012527937
5001,0.15866910406008394,156307.35297340766,0.05269860725202079,0.03996639630709894
6001,0.15750989423471315,150467.04160381077,0.04752169434925959,0.04374043488175106
7001,0.16298179897760864,149505.03663579735,0.04736922979584565,0.06412281810991172
8001,0.1656014969063004,147184.6836860391,0.04856591304193264,0.06831674292344588
9001,0.15954999661023006,150349.31391003774,0.05382218465548088,0.08701421312340155
10001,0.15725862160614987,155515.662242429,0.04794507626289477,0.058645018996153604
