Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.07598118573143135,260685.31380822533,0.04983843118943782,0.16676512438974012
1001,0.11848111424280494,223889.75188379173,0.0416160487467276,0.2595552117791336
2001,0.12454753761727935,209683.3920049368,0.045900084571275444,0.1080293267586612
3001,0.13363837275412796,192752.34772931263,0.046789813920689434,0.07704160595256258
4001,0.1371820638124625,179772.13990217212,0.04800702822555175,0.08046366131776003
5001,0.13492698116420485,178958.09429546903,0.04805659217692558,0.08329687176274128
6001,0.13810976003442837,170397.0698850013,0.04850747794488752,0.08095553499465787
7001,0.15134096622782836,170649.3047392223,0.0513122615790196,0.08194621316705052
8001,0.14615612995248975,171962.76569163628,0.05355634295168834,0.08666452464627629
9001,0.14040857654901825,185628.8281054485,0.05075539489688863,0.07796119631622883
10001,0.14079532802541445,183753.33741011948,0.04538036534091739,0.08922986201991993
