Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.07680128985293747,253182.0303088763,0.049404405049265875,0.1222337164023411
1001,0.13891729143997752,176329.92532731956,0.04821161013656641,0.1323772776215661
2001,0.1439411752337195,167771.97454952562,0.04860019692107378,0.17373589592361527
3001,0.15163803917569424,154794.91064522625,0.05037752221012566,0.1357697144957349
4001,0.1458477084953902,141668.1360939608,0.04942242175992298,0.0329748859909885
5001,0.1587335544775316,123201.45055272966,0.04822234530114975,0.02091215809166679
6001,0.15157230754252674,117166.3737858716,0.04912428850653968,0.015715558697912912
7001,0.13830921388528428,107871.44164298818,0.04849424485909194,0.005096796521665931
8001,0.1351529018338712,107573.53280988299,0.041084424359556365,0.0034761256948457084
9001,0.12724267149017043,102459.30907974971,0.045089390675779224,0.0009971123275504378
10001,0.12605090305107114,100794.58736958206,0.04299746704679277,0.0017983014971490715
