Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.07632925069445631,240477.95930487607,0.05370004184984525,0.20297673198862978
10001,0.2202681493120275,45867.099440075974,0.13162626450476597,0.0
20001,0.162864153520663,45210.34605899904,0.09066251583362726,0.0
30001,0.23093114438546408,1383.8311301943913,0.11960226136003269,0.3632472270403955
40001,0.21684064577707757,1920.698609962324,0.09199220413570537,0.00818145346171481
50001,0.20200939999535827,1324.762282957053,0.0918498050799591,0.0013707397218401345
60001,0.1472776825245376,30864.788005245064,0.08873828856896439,0.009399827872610698
70001,0.1695222060838955,1389.1043065906038,0.10202331328208059,0.0006829818126241785
80001,0.19899082489781575,27899.31816755694,0.09494527547096458,0.0
90001,0.19666428508180192,118764.95338644541,0.09435625779415366,0.0
100001,0.2489978881173519,2111.0882184984735,0.12604283284931989,0.005389373210900034
