Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.262856492678453,56280.60996153191,0.07894418636226327,0.5248790493549311
1001,0.2597804304265216,53706.89392464226,0.07895152492555656,0.4727715084048647
2001,0.2793289355010771,50881.22668674824,0.0774207855965138,0.413843863342182
3001,0.24113358304469745,39919.12115615217,0.07126033091369204,0.21164719291562673
4001,0.2522050182487341,31232.488916215858,0.07043799928755333,0.24843363586901412
5001,0.23244034737817743,22201.685873624552,0.07027743015991524,0.20828915967465778
6001,0.21835657552593055,12806.22790689964,0.0609809622773003,0.31915564406057884
7001,0.181849552521054,11402.413760757761,0.05754087246811696,0.32783962531332284
8001,0.22989499700741173,23442.881903997695,0.05723147436706771,0.4145321389186084
9001,0.21011498621457272,36367.36021486328,0.05561268960438715,0.40423515675004396
10001,0.16333007949828063,53096.00029138101,0.04568617076300419,0.39617324614640836
11001,0.16579433411137015,45322.89548291167,0.07381722740147381,0.3585905913570058
12001,0.20395372050260624,63985.19722050108,0.05819838506253549,0.2958013202602837
