Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.10345494201550633,100501.0323655183,0.059197943166376644,0.3403552732480865
1001,0.13060310051038146,96517.2793783139,0.0499093979307421,0.3119330318737095
2001,0.13123748411226835,104412.01207417804,0.04949946540323786,0.40931028215015
3001,0.11490803645195753,113947.25820897745,0.041300192127548895,0.45461465326359096
4001,0.11138614630786467,121239.45765291103,0.04642676799758035,0.4349477055559884
5001,0.10359556215740993,135468.0949076241,0.04319627008355978,0.3929862602724285
6001,0.10517745708247395,144173.22443824168,0.03955293659785043,0.38282872071841323
7001,0.10840718153060992,147358.50677215838,0.04180846977025483,0.454180243550641
8001,0.11844383569017432,148475.62038427228,0.0567557331738015,0.4012376533495858
9001,0.10927643030713884,162656.415933371,0.042309114875374663,0.3754072986235863
10001,0.11240585893762853,180086.0752355388,0.04441700592886609,0.3003382270010733
