Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.27232362610767324,54058.92949572563,0.07708090214269121,0.12440822627422596
1001,0.26836792957603994,40106.86541074054,0.07665633271326082,0.0
2001,0.29560958343673177,46718.605958775,0.19290335934339287,0.0
3001,0.25401425528246047,50282.86096570568,0.14275312145378727,0.0
4001,0.21218212221534957,42893.06420229796,0.08874103369251612,0.0
5001,0.25137888012744636,47566.78927300115,0.07631172049977744,0.0
6001,0.2659485356569474,46287.26172866273,0.07244673171286957,0.0
7001,0.2911275214946325,43199.965637910944,0.07227586225449709,0.0
8001,0.292154431188825,45502.194900498216,0.07767588570398298,0.0
9001,0.28132115488566467,45678.4207459841,0.08697174931105466,0.0
10001,0.22839529032338277,45365.57188522988,0.07425691469844738,0.0
11001,0.257551279799594,53230.99784514459,0.07597533722792088,0.0
12001,0.28112948984420993,63236.23874971225,0.09454019547920131,0.0
