Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.1148731027673536,83376.68632541073,0.06126126772982444,0.36603967673127097
1001,0.10598555313433786,98829.9620623969,0.05506133399456143,0.0
2001,0.10898250990500404,71539.77920776761,0.0456005342540847,0.0
3001,0.1062443686259157,74263.46378627745,0.06364681667691044,0.08468746553608912
4001,0.12049111817206107,43153.92269277776,0.07529451736773543,0.0
5001,0.1269231482853855,38911.656541321085,0.06665737913978619,0.0
6001,0.12689745408226213,50780.48408860451,0.056874187557342804,0.0
7001,0.13808763055185475,24055.430623482192,0.11358496784101571,0.0
8001,0.12394010956370599,41952.81121964102,0.053295315483913565,0.0
9001,0.10796529669489069,45492.169513973335,0.04744437076762816,0.0
10001,0.14094341178440636,47031.37057595894,0.12140786077748188,0.0
